transaction_id,amount,transaction_hour,merchant_category,foreign_transaction,location_mismatch,device_trust_score,velocity_last_24h,cardholder_age,is_fraud
1,84.47,22,Electronics,0,0,66,3,40,FALSE
2,541.82,3,Travel,1,0,87,1,64,FALSE
3,237.01,17,Grocery,0,0,49,1,61,FALSE
4,164.33,4,Grocery,0,1,72,3,34,FALSE
5,30.53,15,Food,0,0,79,0,44,FALSE
6,30.53,13,Clothing,0,0,90,2,46,FALSE
7,10.77,18,Travel,0,0,48,1,28,FALSE
8,362.02,13,Electronics,0,0,68,1,40,FALSE
9,165.43,8,Grocery,0,0,80,0,21,FALSE
10,221.63,5,Grocery,0,0,59,1,34,FALSE
11,3.74,16,Grocery,0,0,58,2,28,FALSE
12,630.64,18,Clothing,0,0,30,4,25,FALSE
13,321.56,11,Clothing,0,0,73,4,68,FALSE
14,42.96,3,Travel,0,0,40,2,43,FALSE
15,36.12,15,Electronics,0,0,37,2,69,FALSE
16,36.47,10,Clothing,0,0,36,2,66,FALSE
17,65.3,21,Food,0,0,35,1,25,FALSE
18,133.91,3,Clothing,0,0,71,2,25,FALSE
19,101.8,16,Grocery,1,0,84,3,24,FALSE
20,61.96,7,Electronics,0,0,73,2,68,FALSE
21,170.35,13,Travel,0,0,76,4,51,FALSE
22,27.04,1,Clothing,0,0,85,1,49,FALSE
23,62.19,10,Grocery,0,0,64,2,30,FALSE
24,82.13,10,Food,0,0,95,2,53,FALSE
25,109.61,23,Food,0,0,99,2,35,FALSE
26,276.83,21,Travel,1,0,77,3,30,FALSE
27,40.09,23,Travel,0,0,85,1,47,FALSE
28,129.97,5,Clothing,0,0,46,1,18,FALSE
29,161.55,20,Travel,0,0,62,3,52,FALSE
30,8.56,20,Grocery,0,0,85,1,20,FALSE
31,168.36,13,Grocery,0,0,71,2,47,FALSE
32,33.65,9,Grocery,0,0,51,2,65,FALSE
33,12.11,7,Clothing,0,0,42,3,42,FALSE
34,535.26,6,Clothing,0,0,44,7,50,FALSE
35,606.71,7,Travel,0,0,66,5,33,FALSE
36,297.42,7,Clothing,0,0,65,2,66,FALSE
37,65.39,22,Grocery,0,0,96,1,20,FALSE
38,18.5,1,Electronics,0,0,82,2,64,FALSE
39,207.5,15,Grocery,0,0,64,1,46,FALSE
40,104.42,8,Electronics,0,0,99,1,31,FALSE
41,23.43,12,Travel,0,0,54,1,60,FALSE
42,123.04,22,Food,0,1,36,3,62,FALSE
43,6.3,11,Clothing,0,0,86,3,22,FALSE
44,432.08,21,Clothing,0,1,86,0,61,FALSE
45,53.9,16,Grocery,0,0,94,2,34,FALSE
46,195.53,1,Grocery,0,0,39,3,46,FALSE
47,67.24,12,Electronics,0,0,31,3,38,FALSE
48,132.14,0,Clothing,0,0,30,2,23,FALSE
49,142.42,18,Travel,0,1,51,2,41,FALSE
50,36.79,10,Grocery,0,0,26,1,66,FALSE
51,628.71,4,Clothing,0,0,30,4,45,FALSE
52,268.6,0,Food,0,0,85,1,34,FALSE
53,504.92,19,Electronics,0,0,56,1,59,FALSE
54,405.39,12,Grocery,0,0,53,0,39,FALSE
55,163.99,7,Grocery,0,0,89,2,41,FALSE
56,458.9,5,Travel,0,0,39,1,57,FALSE
57,16.68,16,Grocery,0,0,34,1,35,FALSE
58,39.26,11,Clothing,1,1,34,3,45,TRUE
59,8.33,0,Clothing,0,0,34,2,27,FALSE
60,70.84,2,Clothing,0,0,61,4,18,FALSE
61,88.58,13,Food,0,0,56,0,54,FALSE
62,56.98,7,Food,1,0,60,2,43,FALSE
